央视,#genre#
之江纪录,http://156.238.248.80/2099.php?id=91
浙江民生,http://156.238.248.80/2099.php?id=92
浙江经济,http://156.238.248.80/2099.php?id=93
浙江钱江,http://156.238.248.80/2099.php?id=94
浙江萧山综合,http://156.238.248.80/2099.php?id=95
浙江文成新闻综合,http://156.238.248.80/2099.php?id=96
浙江新昌新闻综合,http://156.238.248.80/2099.php?id=97
浙江东阳影视生活,http://156.238.248.80/2099.php?id=98
浙江龙游新闻综合,http://156.238.248.80/2099.php?id=99
浙江龙游生活娱乐,http://156.238.248.80/2099.php?id=100
浙江开化国家公园,http://156.238.248.80/2099.php?id=101
浙江衢江新闻综合,http://156.238.248.80/2099.php?id=102
浙江青田电视台,http://156.238.248.80/2099.php?id=103
浙江松阳新闻综合,http://156.238.248.80/2099.php?id=104
浙江庆元新闻综合,http://156.238.248.80/2099.php?id=105
浙江青田电视台,http://156.238.248.80/2099.php?id=106
浙江诸暨新闻综合,http://156.238.248.80/2099.php?id=107
浙江松阳综合,http://156.238.248.80/2099.php?id=108
浙江衢江新闻综合,http://156.238.248.80/2099.php?id=109
江苏,#genre#
江苏卫视4K,http://156.238.248.80/2099.php?id=110
江苏卫视,http://156.238.248.80/2099.php?id=111
江苏城市,http://156.238.248.80/2099.php?id=112
江苏综艺,http://156.238.248.80/2099.php?id=113
江苏影视,http://156.238.248.80/2099.php?id=114
江苏新闻,http://156.238.248.80/2099.php?id=115
江苏教育,http://156.238.248.80/2099.php?id=116
江苏体育休闲,http://156.238.248.80/2099.php?id=117
江苏国际,http://156.238.248.80/2099.php?id=118
优漫卡通,http://156.238.248.80/2099.php?id=119
苏州综合,http://156.238.248.80/2099.php?id=120
苏州经济,http://156.238.248.80/2099.php?id=121
苏州生活,http://156.238.248.80/2099.php?id=122
苏州娱乐,http://156.238.248.80/2099.php?id=123
苏州资讯,http://156.238.248.80/2099.php?id=124
苏州4K台,http://156.238.248.80/2099.php?id=125
镇江综合,http://156.238.248.80/2099.php?id=126
镇江民生,http://156.238.248.80/2099.php?id=127
武进综合,http://156.238.248.80/2099.php?id=128
武进生活,http://156.238.248.80/2099.php?id=129
无锡综合,http://156.238.248.80/2099.php?id=130
无锡娱乐,http://156.238.248.80/2099.php?id=131
无锡都市,http://156.238.248.80/2099.php?id=132
无锡生活,http://156.238.248.80/2099.php?id=133
无锡经济,http://156.238.248.80/2099.php?id=134
宜兴综合,http://156.238.248.80/2099.php?id=135
泗阳综合,http://156.238.248.80/2099.php?id=136
泗阳资讯,http://156.238.248.80/2099.php?id=137
句容综合,http://156.238.248.80/2099.php?id=138
句容生活,http://156.238.248.80/2099.php?id=139
句容党建,http://156.238.248.80/2099.php?id=140
山东,#genre#
山东综艺,http://156.238.248.80/2099.php?id=141
山东生活,http://156.238.248.80/2099.php?id=142
山东文旅,http://156.238.248.80/2099.php?id=143
山东农科,http://156.238.248.80/2099.php?id=144
山东体育,http://156.238.248.80/2099.php?id=145
河北,#genre#
河北卫视,http://156.238.248.80/2099.php?id=146
河北卫视,http://156.238.248.80/2099.php?id=147
经济生活,http://156.238.248.80/2099.php?id=148
经济生活,http://156.238.248.80/2099.php?id=149
三农频道,http://156.238.248.80/2099.php?id=150
三农频道,http://156.238.248.80/2099.php?id=151
河北都市,http://156.238.248.80/2099.php?id=152
河北都市,http://156.238.248.80/2099.php?id=153
河北影视剧,http://156.238.248.80/2099.php?id=154
河北影视剧,http://156.238.248.80/2099.php?id=155
少儿科教,http://156.238.248.80/2099.php?id=156
少儿科教,http://156.238.248.80/2099.php?id=157
文旅·公共,http://156.238.248.80/2099.php?id=158
文旅·公共,http://156.238.248.80/2099.php?id=159
广东,#genre#
广州综合,http://156.238.248.80/2099.php?id=160
广州综合,http://156.238.248.80/2099.php?id=161
广州综合,http://156.238.248.80/2099.php?id=162
广州新闻,http://156.238.248.80/2099.php?id=163
广州南国,http://156.238.248.80/2099.php?id=164
番禺电视台,http://156.238.248.80/2099.php?id=165
河源综合,http://156.238.248.80/2099.php?id=166
番禺电视,http://156.238.248.80/2099.php?id=167
东莞新闻综合,http://156.238.248.80/2099.php?id=168
内蒙,#genre#
内蒙古蒙语,http://156.238.248.80/2099.php?id=169
内蒙古新闻综合,http://156.238.248.80/2099.php?id=170
内蒙古经济生活,http://156.238.248.80/2099.php?id=171
内蒙古文体娱乐,http://156.238.248.80/2099.php?id=172
内蒙古少儿,http://156.238.248.80/2099.php?id=173
内蒙古文化,http://156.238.248.80/2099.php?id=174
内蒙古农牧,http://156.238.248.80/2099.php?id=175
呼和浩特新闻综合,http://156.238.248.80/2099.php?id=176
包头新闻综合,http://156.238.248.80/2099.php?id=177
赤峰新闻综合,http://156.238.248.80/2099.php?id=178
鄂尔多斯新闻综合,http://156.238.248.80/2099.php?id=179
鄂尔多斯蒙语综合,http://156.238.248.80/2099.php?id=180
鄂尔多斯经济服务,http://156.238.248.80/2099.php?id=181
乌兰察布新闻综合,http://156.238.248.80/2099.php?id=182
呼伦贝尔新闻综合,http://156.238.248.80/2099.php?id=183
巴彦淖尔新闻综合,http://156.238.248.80/2099.php?id=184
阿拉善新闻综合,http://156.238.248.80/2099.php?id=185
通辽新闻综合,http://156.238.248.80/2099.php?id=186
乌海新闻综合,http://156.238.248.80/2099.php?id=187
兴安盟新闻综合,http://156.238.248.80/2099.php?id=188
锡林郭勒综合,http://156.238.248.80/2099.php?id=189
4gtv,#genre#
播放权限申请,http://156.238.248.80/2099.php?id=190
中天新聞台,http://156.238.248.80/2099.php?id=191
TVBS新聞,http://156.238.248.80/2099.php?id=192
民視新聞台,http://156.238.248.80/2099.php?id=193
東森新聞台,http://156.238.248.80/2099.php?id=194
華視新聞,http://156.238.248.80/2099.php?id=195
鏡電視新聞台,http://156.238.248.80/2099.php?id=196
東森財經新聞台,http://156.238.248.80/2099.php?id=197
中視新聞,http://156.238.248.80/2099.php?id=198
寰宇新聞台,http://156.238.248.80/2099.php?id=199
寰宇新聞台灣台,http://156.238.248.80/2099.php?id=200
三立新聞iNEWS,http://156.238.248.80/2099.php?id=201
Bloomberg TV,http://156.238.248.80/2099.php?id=202
SBN全球財經台,http://156.238.248.80/2099.php?id=203
FRANCE24 英文台,http://156.238.248.80/2099.php?id=204
半島國際新聞台,http://156.238.248.80/2099.php?id=205
NHK WORLD-JAPAN,http://156.238.248.80/2099.php?id=206
CNBC Asia 財經台,http://156.238.248.80/2099.php?id=207
DW德國之聲,http://156.238.248.80/2099.php?id=208
民視第一台,http://156.238.248.80/2099.php?id=209
民視台灣台,http://156.238.248.80/2099.php?id=210
民視,http://156.238.248.80/2099.php?id=211
三立綜合台,http://156.238.248.80/2099.php?id=212
華視,http://156.238.248.80/2099.php?id=213
中視,http://156.238.248.80/2099.php?id=214
中視經典台,http://156.238.248.80/2099.php?id=215
中視菁采台,http://156.238.248.80/2099.php?id=216
八大綜藝台,http://156.238.248.80/2099.php?id=217
TVBS精采台,http://156.238.248.80/2099.php?id=218
民視綜藝台,http://156.238.248.80/2099.php?id=219
TVBS,http://156.238.248.80/2099.php?id=220
TVBS歡樂台,http://156.238.248.80/2099.php?id=221
TVBS綜藝台,http://156.238.248.80/2099.php?id=222
TVBS台劇台,http://156.238.248.80/2099.php?id=223
靖天綜合台,http://156.238.248.80/2099.php?id=224
靖天日本台,http://156.238.248.80/2099.php?id=225
KLT-靖天國際台,http://156.238.248.80/2099.php?id=226
靖天資訊台,http://156.238.248.80/2099.php?id=227
Nice TV 靖天歡樂台,http://156.238.248.80/2099.php?id=228
新唐人亞太台,http://156.238.248.80/2099.php?id=229
ARIRANG阿里郎頻道,http://156.238.248.80/2099.php?id=230
Global Trekker,http://156.238.248.80/2099.php?id=231
原住民族電視台,http://156.238.248.80/2099.php?id=232
客家電視台,http://156.238.248.80/2099.php?id=233
國會頻道1,http://156.238.248.80/2099.php?id=234
國會頻道2,http://156.238.248.80/2099.php?id=235
好消息,http://156.238.248.80/2099.php?id=236
好消息2台,http://156.238.248.80/2099.php?id=237
大愛電視,http://156.238.248.80/2099.php?id=238
大愛二台,http://156.238.248.80/2099.php?id=239
人間衛視,http://156.238.248.80/2099.php?id=240
民視旅遊台,http://156.238.248.80/2099.php?id=241
亞洲旅遊台,http://156.238.248.80/2099.php?id=242
愛爾達生活旅遊台,http://156.238.248.80/2099.php?id=243
fun探索娛樂台,http://156.238.248.80/2099.php?id=244
幸福空間居家台,http://156.238.248.80/2099.php?id=245
Love Nature,http://156.238.248.80/2099.php?id=246
History 歷史頻道,http://156.238.248.80/2099.php?id=247
LUXE TV Channel,http://156.238.248.80/2099.php?id=248
TV5MONDE STYLE HD 生活時尚,http://156.238.248.80/2099.php?id=249
MagellanTV頻道 (麥哲倫頻道),http://156.238.248.80/2099.php?id=250
Lifetime 娛樂頻道,http://156.238.248.80/2099.php?id=251
ROCK Entertainment,http://156.238.248.80/2099.php?id=252
八大精彩台,http://156.238.248.80/2099.php?id=253
靖天育樂台,http://156.238.248.80/2099.php?id=254
豬哥亮歌廳秀,http://156.238.248.80/2099.php?id=255
韓國娛樂台 KMTV,http://156.238.248.80/2099.php?id=256
愛爾達娛樂台,http://156.238.248.80/2099.php?id=257
民視影劇台,http://156.238.248.80/2099.php?id=258
公視戲劇,http://156.238.248.80/2099.php?id=259
采昌影劇台,http://156.238.248.80/2099.php?id=260
靖天戲劇台,http://156.238.248.80/2099.php?id=261
靖洋戲劇台,http://156.238.248.80/2099.php?id=262
靖天映畫,http://156.238.248.80/2099.php?id=263
靖天電影台,http://156.238.248.80/2099.php?id=264
影迷數位電影台,http://156.238.248.80/2099.php?id=265
amc電影台,http://156.238.248.80/2099.php?id=266
CinemaWorld,http://156.238.248.80/2099.php?id=267
My Cinema Europe HD 我的歐洲電影,http://156.238.248.80/2099.php?id=268
經典電影台,http://156.238.248.80/2099.php?id=269
電影原聲台CMusic,http://156.238.248.80/2099.php?id=270
CI 罪案偵查頻道,http://156.238.248.80/2099.php?id=271
視納華仁紀實頻道,http://156.238.248.80/2099.php?id=272
影迷數位紀實台,http://156.238.248.80/2099.php?id=273
戲劇免費看 1台,http://156.238.248.80/2099.php?id=274
LiveABC互動英語頻道,http://156.238.248.80/2099.php?id=275
ELTV生活英語台,http://156.238.248.80/2099.php?id=276
MOMO親子台,http://156.238.248.80/2099.php?id=277
Nick Jr. 兒童頻道,http://156.238.248.80/2099.php?id=278
尼克兒童頻道,http://156.238.248.80/2099.php?id=279
DreamWorks 夢工廠動畫,http://156.238.248.80/2099.php?id=280
靖天卡通台,http://156.238.248.80/2099.php?id=281
靖洋卡通Nice Bingo,http://156.238.248.80/2099.php?id=282
金光布袋戲,http://156.238.248.80/2099.php?id=283
霹靂布袋戲,http://156.238.248.80/2099.php?id=284
經典卡通台,http://156.238.248.80/2099.php?id=285
精選動漫台,http://156.238.248.80/2099.php?id=286
MTV Live HD 音樂頻道,http://156.238.248.80/2099.php?id=287
Mezzo Live HD,http://156.238.248.80/2099.php?id=288
CLASSICA 古典樂,http://156.238.248.80/2099.php?id=289
INULTRA,http://156.238.248.80/2099.php?id=290
TRACE Urban,http://156.238.248.80/2099.php?id=291
TRACE Sport Stars,http://156.238.248.80/2099.php?id=292
ROCK Action,http://156.238.248.80/2099.php?id=293
HITS頻道,http://156.238.248.80/2099.php?id=294
車迷TV,http://156.238.248.80/2099.php?id=295
GINX Esports TV,http://156.238.248.80/2099.php?id=296
Pet Club TV,http://156.238.248.80/2099.php?id=297
滾動力rollor,http://156.238.248.80/2099.php?id=298
達文西頻道,http://156.238.248.80/2099.php?id=299
智林體育台,http://156.238.248.80/2099.php?id=300
時尚運動X,http://156.238.248.80/2099.php?id=301
四季,#genre#
民視第一台,http://156.238.248.80/2099.php?id=302
民視台灣台,http://156.238.248.80/2099.php?id=303
民視HD,http://156.238.248.80/2099.php?id=304
大愛電視,http://156.238.248.80/2099.php?id=305
中視,http://156.238.248.80/2099.php?id=306
華視,http://156.238.248.80/2099.php?id=307
三立綜合合,http://156.238.248.80/2099.php?id=308
客家電視,http://156.238.248.80/2099.php?id=309
中視菁采台,http://156.238.248.80/2099.php?id=310
靖天綜合,http://156.238.248.80/2099.php?id=311
靖天日本,http://156.238.248.80/2099.php?id=312
新唐人亞太台,http://156.238.248.80/2099.php?id=313
Arirang TV,http://156.238.248.80/2099.php?id=314
原住民族電視台,http://156.238.248.80/2099.php?id=315
TVBS HD,http://156.238.248.80/2099.php?id=316
靖天育樂,http://156.238.248.80/2099.php?id=317
靖天國際,http://156.238.248.80/2099.php?id=318
靖天歡樂,http://156.238.248.80/2099.php?id=319
靖天資訊,http://156.238.248.80/2099.php?id=320
韓國娛樂台,http://156.238.248.80/2099.php?id=321
東森購物三台,http://156.238.248.80/2099.php?id=322
好消息,http://156.238.248.80/2099.php?id=323
好消息2台,http://156.238.248.80/2099.php?id=324
大愛二台,http://156.238.248.80/2099.php?id=325
人間衛視,http://156.238.248.80/2099.php?id=326
國會頻道1,http://156.238.248.80/2099.php?id=327
國會頻道2,http://156.238.248.80/2099.php?id=328
民視第一台,http://156.238.248.80/2099.php?id=329
民視台灣台,http://156.238.248.80/2099.php?id=330
中視,http://156.238.248.80/2099.php?id=331
華視,http://156.238.248.80/2099.php?id=332
中天亞洲台,http://156.238.248.80/2099.php?id=333
三立綜合合,http://156.238.248.80/2099.php?id=334
客家電視,http://156.238.248.80/2099.php?id=335
中視菁采台,http://156.238.248.80/2099.php?id=336
靖天綜合,http://156.238.248.80/2099.php?id=337
靖天日本,http://156.238.248.80/2099.php?id=338
Arirang TV,http://156.238.248.80/2099.php?id=339
TVBS HD,http://156.238.248.80/2099.php?id=340
靖天育樂,http://156.238.248.80/2099.php?id=341
靖天國際,http://156.238.248.80/2099.php?id=342
靖天歡樂,http://156.238.248.80/2099.php?id=343
靖天資訊,http://156.238.248.80/2099.php?id=344
韓國娛樂台,http://156.238.248.80/2099.php?id=345
好消息,http://156.238.248.80/2099.php?id=346
好消息2台,http://156.238.248.80/2099.php?id=347
國會頻道1,http://156.238.248.80/2099.php?id=348
國會頻道2,http://156.238.248.80/2099.php?id=349
台視HD,http://156.238.248.80/2099.php?id=350
台視HD,http://156.238.248.80/2099.php?id=351
中視,http://156.238.248.80/2099.php?id=352
華視,http://156.238.248.80/2099.php?id=353
好消息,http://156.238.248.80/2099.php?id=354
好消息2台,http://156.238.248.80/2099.php?id=355
國會頻道1,http://156.238.248.80/2099.php?id=356
國會頻道2,http://156.238.248.80/2099.php?id=357
中視經典台,http://156.238.248.80/2099.php?id=358
ROCK Entertainment,http://156.238.248.80/2099.php?id=359
公視戲劇,http://156.238.248.80/2099.php?id=360
民視影劇,http://156.238.248.80/2099.php?id=361
HITS,http://156.238.248.80/2099.php?id=362
霹靂布袋戲,http://156.238.248.80/2099.php?id=363
靖天戲劇,http://156.238.248.80/2099.php?id=364
靖洋戲劇,http://156.238.248.80/2099.php?id=365
金光布袋戲,http://156.238.248.80/2099.php?id=366
ROCK Action,http://156.238.248.80/2099.php?id=367
采昌影劇,http://156.238.248.80/2099.php?id=368
靖天映畫,http://156.238.248.80/2099.php?id=369
靖天電影,http://156.238.248.80/2099.php?id=370
影迷數位電影台,http://156.238.248.80/2099.php?id=371
amc 電影台,http://156.238.248.80/2099.php?id=372
Cinema World,http://156.238.248.80/2099.php?id=373
歐洲光影,http://156.238.248.80/2099.php?id=374
TVBS台劇台,http://156.238.248.80/2099.php?id=375
經典電影台,http://156.238.248.80/2099.php?id=376
戲劇免費看1台,http://156.238.248.80/2099.php?id=377
中視經典台,http://156.238.248.80/2099.php?id=378
龍華洋片,http://156.238.248.80/2099.php?id=379
龍華電影,http://156.238.248.80/2099.php?id=380
龍華日韓,http://156.238.248.80/2099.php?id=381
龍華偶像,http://156.238.248.80/2099.php?id=382
龍華戲劇,http://156.238.248.80/2099.php?id=383
龍華經典,http://156.238.248.80/2099.php?id=384
公視戲劇,http://156.238.248.80/2099.php?id=385
民視影劇,http://156.238.248.80/2099.php?id=386
靖天戲劇,http://156.238.248.80/2099.php?id=387
靖洋戲劇,http://156.238.248.80/2099.php?id=388
采昌影劇,http://156.238.248.80/2099.php?id=389
靖天映畫,http://156.238.248.80/2099.php?id=390
靖天電影,http://156.238.248.80/2099.php?id=391
影迷數位電影台,http://156.238.248.80/2099.php?id=392
amc 電影台,http://156.238.248.80/2099.php?id=393
台灣戲劇台,http://156.238.248.80/2099.php?id=394
台灣戲劇台,http://156.238.248.80/2099.php?id=395
龍華洋片,http://156.238.248.80/2099.php?id=396
龍華電影,http://156.238.248.80/2099.php?id=397
龍華日韓,http://156.238.248.80/2099.php?id=398
龍華偶像,http://156.238.248.80/2099.php?id=399
龍華戲劇,http://156.238.248.80/2099.php?id=400
龍華經典,http://156.238.248.80/2099.php?id=401
八大綜藝,http://156.238.248.80/2099.php?id=402
TVBS精采台,http://156.238.248.80/2099.php?id=403
ELTA娛樂,http://156.238.248.80/2099.php?id=404
民視綜藝,http://156.238.248.80/2099.php?id=405
豬哥亮歌廳秀,http://156.238.248.80/2099.php?id=406
TVBS歡樂台,http://156.238.248.80/2099.php?id=407
電影原聲台 CMusic,http://156.238.248.80/2099.php?id=408
Trace Urban,http://156.238.248.80/2099.php?id=409
MTV Live,http://156.238.248.80/2099.php?id=410
MEZZO LIVE HD,http://156.238.248.80/2099.php?id=411
CLASSICA 古典樂,http://156.238.248.80/2099.php?id=412
八大精彩,http://156.238.248.80/2099.php?id=413
TVBS綜藝台,http://156.238.248.80/2099.php?id=414
八大綜藝,http://156.238.248.80/2099.php?id=415
TVBS精采台,http://156.238.248.80/2099.php?id=416
ELTA娛樂,http://156.238.248.80/2099.php?id=417
民視綜藝,http://156.238.248.80/2099.php?id=418
豬哥亮歌廳秀,http://156.238.248.80/2099.php?id=419
TVBS歡樂台,http://156.238.248.80/2099.php?id=420
Trace Urban,http://156.238.248.80/2099.php?id=421
MEZZO LIVE HD,http://156.238.248.80/2099.php?id=422
CLASSICA 古典樂,http://156.238.248.80/2099.php?id=423
八大精彩,http://156.238.248.80/2099.php?id=424
Global Trekker,http://156.238.248.80/2099.php?id=425
Lifetime,http://156.238.248.80/2099.php?id=426
INULTRA,http://156.238.248.80/2099.php?id=427
Pet Club TV,http://156.238.248.80/2099.php?id=428
民視旅遊,http://156.238.248.80/2099.php?id=429
滾動力 Rollor,http://156.238.248.80/2099.php?id=430
亞洲旅遊,http://156.238.248.80/2099.php?id=431
FUN 4K探索娛樂,http://156.238.248.80/2099.php?id=432
幸福空間居家台,http://156.238.248.80/2099.php?id=433
LOVE NATURE,http://156.238.248.80/2099.php?id=434
ELTA生活旅遊,http://156.238.248.80/2099.php?id=435
LUXE TV,http://156.238.248.80/2099.php?id=436
TV5MONDE Style,http://156.238.248.80/2099.php?id=437
MagellanTV頻道,http://156.238.248.80/2099.php?id=438
民視旅遊,http://156.238.248.80/2099.php?id=439
亞洲旅遊,http://156.238.248.80/2099.php?id=440
Smart知識台,http://156.238.248.80/2099.php?id=441
亞洲旅遊,http://156.238.248.80/2099.php?id=442
Smart知識台,http://156.238.248.80/2099.php?id=443
LiveABC 互動英語台,http://156.238.248.80/2099.php?id=444
達文西,http://156.238.248.80/2099.php?id=445
ELTV生活英語台,http://156.238.248.80/2099.php?id=446
Nick Jr.,http://156.238.248.80/2099.php?id=447
Nickelodeon,http://156.238.248.80/2099.php?id=448
DreamWorks,http://156.238.248.80/2099.php?id=449
靖天卡通台,http://156.238.248.80/2099.php?id=450
靖洋卡通,http://156.238.248.80/2099.php?id=451
MOMO親子,http://156.238.248.80/2099.php?id=452
經典卡通台,http://156.238.248.80/2099.php?id=453
精選動漫台,http://156.238.248.80/2099.php?id=454
龍華卡通,http://156.238.248.80/2099.php?id=455
達文西,http://156.238.248.80/2099.php?id=456
ELTV生活英語台,http://156.238.248.80/2099.php?id=457
靖天卡通台,http://156.238.248.80/2099.php?id=458
靖洋卡通,http://156.238.248.80/2099.php?id=459
ELTV生活英語台,http://156.238.248.80/2099.php?id=460
龍華卡通,http://156.238.248.80/2099.php?id=461
鏡電視新聞台,http://156.238.248.80/2099.php?id=462
東森新聞,http://156.238.248.80/2099.php?id=463
華視新聞台,http://156.238.248.80/2099.php?id=464
民視新聞,http://156.238.248.80/2099.php?id=465
三立iNEWS,http://156.238.248.80/2099.php?id=466
東森財經新聞,http://156.238.248.80/2099.php?id=467
中視新聞台,http://156.238.248.80/2099.php?id=468
中天新聞台,http://156.238.248.80/2099.php?id=469
BLOOMBERG TV,http://156.238.248.80/2099.php?id=470
寰宇新聞,http://156.238.248.80/2099.php?id=471
寰宇新聞台灣台,http://156.238.248.80/2099.php?id=472
SBN 全球財經台,http://156.238.248.80/2099.php?id=473
寰宇財經,http://156.238.248.80/2099.php?id=474
FRANCE24 英文台,http://156.238.248.80/2099.php?id=475
半島國際新聞台,http://156.238.248.80/2099.php?id=476
VOA 美國之音,http://156.238.248.80/2099.php?id=477
CNBC Asia 財經台,http://156.238.248.80/2099.php?id=478
DW德國之聲,http://156.238.248.80/2099.php?id=479
非凡新聞,http://156.238.248.80/2099.php?id=480
非凡商業,http://156.238.248.80/2099.php?id=481
台視財經台,http://156.238.248.80/2099.php?id=482
鏡電視新聞台,http://156.238.248.80/2099.php?id=483
東森新聞,http://156.238.248.80/2099.php?id=484
民視新聞,http://156.238.248.80/2099.php?id=485
TVBS新聞台,http://156.238.248.80/2099.php?id=486
東森財經新聞,http://156.238.248.80/2099.php?id=487
中視新聞台,http://156.238.248.80/2099.php?id=488
中天新聞台,http://156.238.248.80/2099.php?id=489
寰宇新聞,http://156.238.248.80/2099.php?id=490
寰宇新聞台灣台,http://156.238.248.80/2099.php?id=491
寰宇財經,http://156.238.248.80/2099.php?id=492
半島國際新聞台,http://156.238.248.80/2099.php?id=493
VOA 美國之音,http://156.238.248.80/2099.php?id=494
台視新聞台,http://156.238.248.80/2099.php?id=495
第1商業台,http://156.238.248.80/2099.php?id=496
台視新聞台,http://156.238.248.80/2099.php?id=497
中視新聞台,http://156.238.248.80/2099.php?id=498
中天新聞台,http://156.238.248.80/2099.php?id=499
寰宇新聞,http://156.238.248.80/2099.php?id=500
寰宇新聞台灣台,http://156.238.248.80/2099.php?id=501
寰宇財經,http://156.238.248.80/2099.php?id=502
第1商業台,http://156.238.248.80/2099.php?id=503
三立iNEWS,http://156.238.248.80/2099.php?id=504
倪珍播新聞,http://156.238.248.80/2099.php?id=505
倪珍英語新聞,http://156.238.248.80/2099.php?id=506
倪珍越語新聞,http://156.238.248.80/2099.php?id=507
TRACE Sport Stars,http://156.238.248.80/2099.php?id=508
智林體育,http://156.238.248.80/2099.php?id=509
時尚運動X,http://156.238.248.80/2099.php?id=510
車迷 TV,http://156.238.248.80/2099.php?id=511
GINX Esports TV,http://156.238.248.80/2099.php?id=512
